Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
TestCases/Regular/verifyAnimationMenu,Success,5,0,2024-06-24 12:54:52 -0400,2024-06-25 11:54:38 -0400,0:00:26
TestCases/HumanInTheLoop/basicScenarioCanvasCheck,Success,3,0,2024-06-25 08:38:23 -0400,2024-06-25 12:04:29 -0400,0:01:16
TestCases/Regular/verifyEditMenu,Success,6,0,2024-06-24 12:52:02 -0400,2024-06-27 12:07:21 -0400,0:00:31
TestCases/Regular/closeScenarioUsingCloseOption,Success,6,0,2024-06-24 12:49:47 -0400,2024-06-27 12:04:50 -0400,0:01:23
TestCases/HumanInTheLoop/verifyPreviousAndNextButtons,Success,3,0,2024-06-25 08:45:07 -0400,2024-06-25 12:10:52 -0400,0:00:48
Testcases/HumanInTheLoop/verifyAndLoadRecentFiles,Failure,1,1,2024-06-28 13:36:55 -0400,2024-06-28 13:36:55 -0400,0:00:00
TestCases/Regular/verifyOpenNewCanvas,Success,6,0,2024-06-24 12:48:53 -0400,2024-06-27 12:03:55 -0400,0:00:49
TestCases/Regular/verifyViewMenu,Success,6,0,2024-06-24 12:52:35 -0400,2024-06-27 12:07:59 -0400,0:00:42
TestCases/Regular/verifyFileMenu,Success,6,0,2024-06-24 12:51:12 -0400,2024-06-27 12:06:26 -0400,0:00:48
TestCases/HumanInTheLoop/basicScenarioActvityRecordingCheck,Success,3,0,2024-06-25 08:39:29 -0400,2024-06-25 12:05:41 -0400,0:03:29
TestCases/Regular/closeUnsavedScenario,Success,5,0,2024-06-24 12:55:20 -0400,2024-06-25 11:55:03 -0400,0:03:42
TestCases/Regular/verifyToolsMenu,Success,5,0,2024-06-24 12:53:20 -0400,2024-06-25 11:53:18 -0400,0:00:56
TestCases/Regular/verifySaveFunctionality,Success,8,4,2024-06-24 12:59:16 -0400,2024-06-25 11:58:33 -0400,0:06:14
main,Failure,18,14,2024-06-24 12:43:52 -0400,2024-06-28 10:54:40 -0400,0:17:35
TestCases/HumanInTheLoop/loadScenarioUsingOpenExample,Success,3,0,2024-06-25 08:43:02 -0400,2024-06-25 12:09:02 -0400,0:01:57
TestCases/HumanInTheLoop/loadScenarioUsingOpenFile,Success,1,0,2024-06-25 09:49:46 -0400,2024-06-25 09:49:46 -0400,0:04:43
TestCases/HumanInTheLoop/verifyAndLoadRecentFiles,Failure,6,3,2024-06-25 08:45:58 -0400,2024-06-28 13:46:51 -0400,0:08:46
TestCases/Regular/basicExataFunctionalityCheck,Failure,14,8,2024-06-24 12:44:19 -0400,2024-06-28 11:26:21 -0400,0:04:20
TestCases/Regular/verifyHelpMenu,Success,5,0,2024-06-24 12:54:21 -0400,2024-06-25 11:54:14 -0400,0:00:26
