2024-06-11 10:04:58.702 -0400	START		Running main.script
2024-06-11 10:04:59.132 -0400	Log		Started the Execution of the EXataGUI Regression Scripts at 10:04 AM on 06/11/24	2	on_cmessage	Common/cLog.script
2024-06-11 10:04:59.171 -0400	setoptions		ImageUpdate = Off	2	on_variabledata	HelperUtilities/variableData.script
2024-06-11 10:04:59.177 -0400	setoptions		MouseMoveMode = 2	2	on_variabledata	HelperUtilities/variableData.script
2024-06-11 10:04:59.184 -0400	setoptions		MouseMoveSpeed = 10	2	on_variabledata	HelperUtilities/variableData.script
2024-06-11 10:04:59.191 -0400	setoptions		remoteWorkInterval = 1	2	on_variabledata	HelperUtilities/variableData.script
2024-06-11 10:04:59.345 -0400	Exception		Remote Connection Unavailable	3	function_checkscreenresolution	Common/check.script
2024-06-11 10:04:59.363 -0400	LogError		checkScreenResolution failed:remotescreensize Error - Remote Connection Unavailable	2	on_cerror	Common/cLog.script
2024-06-11 10:04:59.386 -0400	Throw		No Remote Connection - remotescreensize Error - Remote Connection Unavailable	14	function_checkscreenresolution	Common/check.script
2024-06-11 10:04:59.479 -0400	LogError		initTestCases failed: remotescreensize Error - Remote Connection Unavailable	2	on_cerror	Common/cLog.script
2024-06-11 10:04:59.491 -0400	Throw		No Remote Connection - remotescreensize Error - Remote Connection Unavailable	15	on_inittestcases	TestCases/launcher.script
2024-06-11 10:04:59.566 -0400	LogError		main script failed:remotescreensize Error - Remote Connection Unavailable	2	on_cerror	Common/cLog.script
2024-06-11 10:04:59.768 -0400	Exception		Remote Connection Unavailable	73	on_setsearchsection	Common/search.script
2024-06-11 10:04:59.918 -0400	LogError		SearchRectangle failed: screenpart Error - Remote Connection Unavailable	2	on_cerror	Common/cLog.script
2024-06-11 10:04:59.956 -0400	Throw		No Remote Connection - screenpart Error - Remote Connection Unavailable	6	on_setsearchsection	Common/search.script
2024-06-11 10:05:00.042 -0400	LogError		isImageTextFound failed: screenpart Error - Remote Connection Unavailable	2	on_cerror	Common/cLog.script
2024-06-11 10:05:00.068 -0400	Throw		No Remote Connection - screenpart Error - Remote Connection Unavailable	26	function_isimagetextfound	Common/check.script
2024-06-11 10:05:00.146 -0400	LogError		cleanUpTestCases failed: screenpart Error - Remote Connection Unavailable	2	on_cerror	Common/cLog.script
2024-06-11 10:05:00.162 -0400	Throw		No Remote Connection - screenpart Error - Remote Connection Unavailable	8	on_cleanuptestcases	TestCases/launcher.script
2024-06-11 10:05:00.310 -0400	EndTestCase		(Duration:"1.598", Errors:"7", Exceptions:"7", StartTime:"2024-06-11 10:04:58 -0400", Successes:"0", TestCase:"main.script", Warnings:"0")
2024-06-11 10:05:00.370 -0400	FAILURE		No Remote Connection: screenpart Error - Remote Connection Unavailable -- Execution Time 0:00:01 main.script
