Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-06-24 12:43:52.898 -0400,"Failure",0:22:37,2,1,2,"20240624_124352.898/LogFile.txt","","Script Error -- Number of Errors logged: 2",11
2024-06-24 14:02:14.274 -0400,"Failure",0:19:19,2,1,2,"20240624_140214.274/LogFile.txt","","Script Error -- Number of Errors logged: 2",11
2024-06-24 18:02:47.101 -0400,"Failure",0:03:36,2,1,2,"20240624_180247.101/LogFile.txt","","Script Error -- Number of Errors logged: 2",1
2024-06-24 18:13:15.659 -0400,"Aborted",0:06:33,3,1,3,"20240624_181315.659/LogFile.txt","","",1
2024-06-25 08:10:19.495 -0400,"Success",0:07:25,0,0,0,"20240625_081019.495/LogFile.txt","","",2
2024-06-25 08:18:11.346 -0400,"Failure",0:30:28,2,0,2,"20240625_081811.346/LogFile.txt","","Script Error -- Number of Errors logged: 2",16
2024-06-25 08:49:33.970 -0400,"Success",0:11:52,0,0,0,"20240625_084933.970/LogFile.txt","","",2
2024-06-25 09:01:29.004 -0400,"Success",0:08:12,0,0,0,"20240625_090129.004/LogFile.txt","","",2
2024-06-25 09:12:02.220 -0400,"Success",0:42:50,0,0,0,"20240625_091202.220/LogFile.txt","","",18
2024-06-25 11:45:19.723 -0400,"Failure",0:29:02,2,0,2,"20240625_114519.723/LogFile.txt","","Script Error -- Number of Errors logged: 2",16
2024-06-26 11:26:01.474 -0400,"Failure",0:00:17,3,0,2,"20240626_112601.474/LogFile.txt","","Script Error -- Number of Errors logged: 3",0
2024-06-26 11:26:47.319 -0400,"Failure",0:00:14,3,0,2,"20240626_112647.319/LogFile.txt","","Script Error -- Number of Errors logged: 3",0
2024-06-26 11:27:30.221 -0400,"Aborted",0:00:01,1,0,0,"20240626_112730.221/LogFile.txt","","",0
2024-06-26 11:27:50.774 -0400,"Failure",0:00:14,3,0,2,"20240626_112750.774/LogFile.txt","","Script Error -- Number of Errors logged: 3",0
2024-06-26 11:29:49.171 -0400,"Failure",0:02:32,2,1,2,"20240626_112949.171/LogFile.txt","","Script Error -- Number of Errors logged: 2",2
2024-06-26 11:33:31.012 -0400,"Failure",0:03:17,2,1,2,"20240626_113331.012/LogFile.txt","","Script Error -- Number of Errors logged: 2",1
2024-06-26 11:38:09.281 -0400,"Aborted",0:03:14,3,1,2,"20240626_113809.281/LogFile.txt","","",1
2024-06-27 09:44:24.026 -0400,"Aborted",0:01:10,1,0,0,"20240627_094424.026/LogFile.txt","","",0
2024-06-27 09:45:37.918 -0400,"Failure",0:01:19,4,0,3,"20240627_094537.918/LogFile.txt","","Script Error -- Number of Errors logged: 4",0
2024-06-27 09:52:40.696 -0400,"Aborted",0:02:22,3,1,3,"20240627_095240.696/LogFile.txt","","",1
2024-06-27 09:55:17.942 -0400,"Failure",0:02:26,2,1,2,"20240627_095517.942/LogFile.txt","","Script Error -- Number of Errors logged: 2",1
2024-06-27 10:49:33.264 -0400,"Aborted",0:00:25,1,0,0,"20240627_104933.264/LogFile.txt","","",0
2024-06-27 10:51:11.646 -0400,"Aborted",0:00:00,1,0,0,"20240627_105111.646/LogFile.txt","","",0
2024-06-27 10:51:12.615 -0400,"Aborted",0:01:11,1,0,0,"20240627_105112.615/LogFile.txt","","",0
2024-06-27 11:57:35.187 -0400,"Aborted",0:12:08,1,0,0,"20240627_115735.187/LogFile.txt","","",9
2024-06-28 10:45:59.570 -0400,"Failure",0:07:39,2,1,2,"20240628_104559.570/LogFile.txt","","Script Error -- Number of Errors logged: 2",3
2024-06-28 10:54:40.158 -0400,"Failure",0:07:24,2,1,2,"20240628_105440.158/LogFile.txt","","Script Error -- Number of Errors logged: 2",3
2024-06-28 11:24:29.716 -0400,"Aborted",0:07:45,3,1,3,"20240628_112429.716/LogFile.txt","","",3
